Bucket,Nom,ISIN,Poids
Obligataire,EdR Fd Bond Allocation A EUR,LU1161527038,0.05000000000000002
Obligataire,Sycomore Sélection Crédit R,FR0011288513,0.05000000000000002
Obligataire,EdR Fd Emerging Sovereign A EUR (H),LU1897613763,0.05000000000000002
Obligataire,BlackRock European High Yield Bond A2 €,LU1191877379,0.05000000000000002
Obligataire,BNPP Euro Bond Classic EUR Acc,LU0075938133,0.05000000000000002
Obligataire,Amundi Funds Euro Aggr Bond A EUR C,LU0616241476,0.05000000000000002
Obligataire,BNPP Gb Infla-Linked Bd Clc EUR Acc,LU0249332619,0.05000000000000002
Obligataire,Carmignac Pf Global Bond A EUR Acc,LU0336083497,0.05000000000000002
Obligataire,Mirova Gbl Green Bond R/A EUR,LU1472740767,0.05000000000000002
Obligataire,Amundi Impact Social Bonds P,FR0013531266,0.05000000000000002
Actions - Défense,Pictet Security P EUR Acc,LU0270904781,0.05000000000000001
Actions - Défense,NIF Lux I Them Safety R/A EUR,LU1951225553,0.05000000000000001
Actions - Défense,EdR Goldsphere A EUR,FR0010664086,0.05000000000000001
Actions - Core,BlackRock European Value Fund A2,LU0072462186,0.043750000000000004
Actions - Core,BlackRock US Flexible Equity Fund A2,LU0171296865,0.043750000000000004
Actions - Core,Amundi Funds US Eq Fda Gr A EUR C,LU1883854199,0.043750000000000004
Actions - Core,EdR Fd Big Data A EUR,LU1244893696,0.043750000000000004
Actions - Core,JPMF Emerging Markets Equity A (acc) EUR,LU0217576759,0.043750000000000004
Actions - Core,Comgest Monde C,FR0000284689,0.043750000000000004
Actions - Core,Robeco QI Glb Dev 3D Enh Index Eq D EUR,LU1123620707,0.043750000000000004
Actions - Core,Amundi S&P 500 Screened Index AE Acc,LU0996179007,0.043750000000000004
